id,user_id,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_VLCdropped,QoA_VLCaudiorate,QoA_VLCaudioloss,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,QoS_operator,QoD_model,QoD_os-version,QoD_api-level,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
590,71,360,528.39294,24.95,0,43.8,0,2,683,4,2,HTC One X+,4.1.1(122573.16),16,1,20,5,3,5,3,4,3
428,46,360,402.64664,30.06666667,0,44.2,0,2,690,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,25,5,4,5,5,5,5
406,44,360,735.8407,24.2,0,44.18333333,0,2,840,2,2,GT-I9300,4.1.2(I9300XXELL4),16,1,22,5,3,5,4,4,4
1256,133,240,529.4883,24.11666667,9,43.85,0,2,868,2,2,D5803,4.4.4(suv3Rw),19,1,31,5,4,5,5,5,5
244,22,360,736.00085,24.06666667,0,43.85,0,2,869,4,4,GT-I9300,4.1.2(I9300XXELL4),16,0,26,5,5,5,4,5,5
179,13,360,528.589,24.8,1,43.8,0,2,873,3,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,29,5,5,5,4,5,4
464,52,360,658.0792,24.73333333,0,43.8,0,2,876,5,4,SM-G900F,4.4.2(G900FXXU1ANG2),19,1,26,5,4,5,5,5,5
273,26,360,565.1745,25.05,0,44.48333333,0,2,887,4,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,33,5,3,5,5,4,4
395,42,360,567.2998,24.7,0,43.78333333,0,2,890,5,4,HTC One X+,4.1.1(122573.16),16,1,26,5,2,5,4,4,3
363,38,360,217.1132,30,0,43.96666667,0,2,912,4,2,GT-I9195,4.4.2(I9195XXUCNK1),19,0,19,5,4,5,4,5,4
348,35,360,754.5763,25.26666667,1,44.15,0,2,916,2,1,SM-G900F,4.4.2(G900FXXU1ANG2),19,0,37,5,4,4,4,4,4
349,35,360,754.5763,25.26666667,1,44.15,0,2,916,2,1,SM-G900F,4.4.2(G900FXXU1ANG2),19,0,37,5,4,4,4,4,4
